;id;canal;texto;temas
0;1;Audiência Geral;"Boa tarde a todas e todos, meu nome é Francisco, apelido Chicão, morador do Butantã na região do Monte Kemel, faço parte do movimento Parque Chácara do Jockey, sou integrante também do fórum Verde permanente de parques praças e áreas verdes da cidade de São Paulo.
 Acho, que a primeira manifestação dos coletivos todos e também das regiões, é a nossa preocupação com a falta de objetividade das metas, quer dizer as metas precisam ser melhor esclarecidas né. A gente não consegue identificar as metas e as regiões onde elas vão ser aplicadas, aonde elas podem sofrer o controle social da comunidade inclusive. Então essa é uma reivindicação para as etapas regionais, que a gente possa definir essas metas e melhorar a definição dessas metas e relacioná-las com as necessidades de cada região, de cada bairro, essa é uma preocupação que em a gente identificou na cidade.
A segunda preocupação é com a questão da área de Meio Ambiente. Então a gente tem no plano diretor a definição da implantação de mais de 60 parques, e a gente entende que a meta de criação de parques é uma metade tímida, oito parques apenas indicados para serem criados nos próximos anos e também a gente sente falta de metas que atendam e resolva o problema da precarização de parques. Desde a da indicação né da concessão de parques na cidade a partir de 2017, na gestão do prefeito Doria, a gente sente a falta de investimentos nos parques urbanos, uma falta de atendimento e de melhoria nesses parques, de forma geral os parques urbanos na cidade de São Paulo estão abandonados.
Os conselhos gestores também dos parques nas cidades, sofrem com a dificuldade de poder atuar a de poder fazer o controle social, a gente sente falta também que essas metas dão aos conselheiros gestores, inclusive perderam o poder deliberativo a partir de uma iniciativa da prefeitura, para facilitar a concessão de parques e a gente sente falta também de metas mais específicas para as áreas de Proteção Ambiental e as áreas de Mananciais.  Então são áreas que estão cada vez mais degradados sofrendo com o impacto da ocupação dessas áreas, e a gente sente falta de políticas públicas que possam dar conta disso, a gente tem inclusive um dossiê muito importante do vereador Natalini, na época que ela Vereador, e a gente precisa de metas e de ações nessas áreas também. Agradeço então a possibilidade de participar, mas principalmente isso a gente precisa relacionar essas metas com as demandas das regiões, acho que essa é a grande reivindicação a cidade e a gente precisa dar conta disso nas etapas regionais. Obrigado.";['Meio Ambiente']
1;2;Audiência Geral;"Oi Sou Mário Sérgio Bortolotto, por favor você me responde já se encontra habilitado para desbloqueio. Oi, boa tarde, estou me ouvindo sim, boa tarde a todas e todos.
O Márcio Bezerra falou sobre a questão do território de interesse da Cultura e da Paisagem, o que é um instrumento urbanístico que foi aprovado o plano diretor é dois TICPs, Luz-Paulista e Perus–Jaraguá. E nós gostaríamos de saber nessas metas todas onde que o TICP está sendo contemplado. Porque é um instrumento que se relaciona com o território que tem uma potência muito grande com relação à cultura, meio ambiente e educação, que é Perus e Jaraguá.  E a gente queria saber então em que metas vai ser inserir o território de interesse da cultura da paisagem, porque analisando as metas da nossa região é nós temos que pensar, na cidade toda. Mas analisando as metas da nossa região que menos Anhanguera, a gente não vê nenhuma meta por exemplo de Cultura, não viu nenhuma meta de educação somente uma meta e de Meio Ambiente. algumas metas não foram cumpridas e a pergunta é: Vocês analisaram e as metas anteriores? Elas foram cumpridas para poder estabelecer essas novas metas? Com essa análise que vocês fizeram para cumprir essas metas que serão agora. Por que a gente precisa saber se as metas anteriores foram cumpridas quais os resultados que elas tiveram, para poder criar essas novas metas para a cidade toda então a minha pergunta é: Isso se relaciona com relação ao território interessa cultura da paisagem? Eu vi lá distritos criativos, mas ele não fala do TIPC, e o TICP é o potencial do distrito criativo, nós temos ações que estão sendo realizadas nesse território à revelia do próprio instrumento, que na prática já estão acontecendo e nós precisamos criar nesse território o conselho gestor.
Então tem toda uma situação que precisa ser acrescentado no território, então a pergunta é essa: Onde é que nós estamos inseridos, enquanto território de interesse da cultura da paisagem?
E para finaliza gostaria de dizer, que nós esperamos que a participação seja ampliada, por que em tempos de pandemias, como disse o primeiro na primeira fala, nós também não vimos nenhuma meta que se relaciona como os grandes problemas que a pandemia causou e vai causar na cidade de São Paulo e nós precisamos pensar nisso, para ela poder dar respostas a essa população que está sofrendo com pandemia.
Obrigado.";['Urbanismo e Licenciamento']
2;3;Audiência Geral;"Então boa tarde a todos e todas.  Eu comprimento a secretária Vivian Satiro e demais autoridades, agradeço o espaço.
Bom estou aqui, sou Elizabeth Grimberg, representando a campanha São Paulo Composta Cultiva, nós já tivemos uma das nossas 56 parceiras que falou anteriormente e eu agradeço também.
Gostaria de iniciar lembrando que o prefeito Bruno Covas, ele assinou a Carta Compromisso da campanha São Paulo Composta Cultiva, e nós já submetemos nossas propostas na plataforma, estão as metas 59 e 67.
 Então eu, queria entrar brevemente posso ter ar colocar aqui nós consideramos positiva a meta 59 de estruturar 400 hortas, mas nós sugerimos, tem outras coisas, mas, destacar que se inclua uma meta para beneficiamento de 200 produtores rurais e urbanos, garantindo a assistência técnica, a gente acha muito importante esse ponto, e da Meta 67 que estabelece basicamente reduzido 600 mil toneladas a quantidade de resíduos criados nos aterros entre 2021 e 2024, nós sugerimos gerimos que a meta deveria fazer reciclar e compostar 600 mil toneladas de resíduos entre 2021 e 2024.
Nós gostaríamos de sugerir também as iniciativas do tipo que inclua, aumentar a capacidade de compostagem do município para 600 toneladas de resíduos orgânicos por dia, em áreas de aterro desativados e ativos. Nesse caso, iniciando um experimento de coleta diferenciada dos orgânicos da fração orgânica domiciliar, para que se comece realmente o aproveitamento integral dessa matéria-prima, de maneira ser destinada para empreendimentos de agroecologia e Agricultura Familiar.
Também os gostaríamos de fosse alterada iniciativa “H” para atingir a totalidade das 900 feiras livres, com o projeto de compostagem funcionamento. O que é muito interessante que já atinge 180 feiras, mas aumentar a meta para 900 e também fluir a meta de incorporar o projeto de compostagem em funcionamento os 37 mercados sacolões públicos, 300 escolas municipais e outros grandes geradores públicos, assim como os resíduos de poda e jardinagem.
Por fim é como eu falei implantar um experimento de coleta seletiva, nós sugerimos domiciliar no distrito da Lapa, por exemplo, e por fim ampliar projeto de compostagem. A última frase eu vou dizer, é a inserção de pelo menos 8.000 composteira por comodato.";['Zeladoria Urbana e melhorias de bairro', 'Desenvolvimento Econômico e Trabalho']
3;4;Audiência Geral;"Muito obrigada agradeço a oportunidade, eu também faço parte da rede Nossa São Paulo GT meio ambiente e do movimento pelos objetivos de desenvolvimento sustentável e também da Aliança resíduo zero, que é justamente o Composta e Cultiva, que é o programa que tivemos a alegria na ocasião quando o Bruno Covas assinou a carta compromisso do programa composta cultiva, mas a gente achou que está pouco refletido nas metas. Então, conforme elas que me antecederam falando sobre a questão da compostagem, da importância da compostagem, a gente espera que como está no plano de gestão integrada de resíduos sólidos a compostagem seja implantada na cidade toda.   Seja no domiciliar, coleta domiciliar, pode ser iniciado através de regiões específicas como na Lapa, que já tem um projeto para isso a coleta em três frações, porque dizer que os orgânicos que são a metade dos resíduos que a gente produz, como disse a Bete, aproximadamente seis mil toneladas, e a Magda, a gente está desperdiçando esse material indo para o aterro sanitário, que é um absurdo, então a gente precisa criar os pátios de compostagem e ampliar a compostagem dos equipamentos. Inclusive deve aparecer metas onde se diz para melhorar as escolas e outros equipamentos, se eles têm que já constar, inclusive o aumento de moradias, já tem áreas específicas para existir a compostagem. Então a gente entende que isso ficou faltando e também que essas metas, no caso a meta 59 a meta 67 a 59 especialmente, eu acho que está faltando cruzar mais com o programa dos objetivos de desenvolvimento sustentável da cidade.
Porque o ODS 2, que foi mencionado por vários que me antecederam, a importância da alimentação, fome zero e Agricultura sustentável quando a gente planta o composta a gente implanta o cultiva, é isso que tem esse binômio aí para poder incentivar para que as pessoas tenham oportunidade de compostar os seus resíduos, e que ele volte para a terra e seja feita a horta em casa, nos parques, nas praças, em todos os lugares aonde for possível, com orientação técnica. Então ficou faltando o ODS 2.3 e 2.4, nessas duas metas e incluindo a compostagem.";['Zeladoria Urbana e melhorias de bairro', 'Desenvolvimento Econômico e Trabalho']
4;5;Audiência Geral;"Bom dia a todos, meu nome é Maria Luiza Kovalski, e eu atuo pelo Engajamundo, a nossa instituição também faz parte da campanha São Paulo Composta Cultiva que é uma iniciativa do Instituto Pólis. Muita coisa já foi falada aqui, aí eu só queria ressaltar essa importância vista pelo Engajamundo, que uma ONG formada só por jovens e todas essas decisões que são tomadas agora vão afetar nosso futuro, então ressaltando que a prefeitura, ela envia 6 mil toneladas por dia de resíduos orgânicos.
 Às vezes a gente não consegue perceber a quantidade imensa que é isso, mas assim, comparando com animais por exemplo, são mais de trinta baleias azul por dia, então é muita coisa. E a metade desse lixo que a gente produzir em casa é resíduo orgânico que poderia estar sendo utilizado para outros fins, então basicamente está sendo dinheiro jogado fora.
E daqui a quatro anos tem uma revisão contrato da concessão das empresas de coleta de lixo, e se a gente não avançar agora, não pensar em fazer alguma coisa agora, poderemos ficar mais 20 anos em destinar os resíduos orgânicos para compostagem.  Então essa é uma outra questão dos jovens e é o que a gente está fazendo agora e o que vai resultar no futuro.
E uma outra questão do Engajamundo também na parte das situações mudanças climáticas. Como já foi falado aqui e a parte da compostagem é de enorme importância e a também importante falar que o prefeito Covas, ele assinou a Carta Compromisso com a campanha do São Paulo Composta Cultiva então fica a cobrança.
Eu acho que vale também consultar o que a cidade de Florianópolis, está implementando nesse quesito dos orgânicos. E só comentando que já foi falado também, sobre algumas metas que não foram esclarecidas, onde vão ser implementadas, algumas coisas por exemplo, os parques, eu sou de Itaquera então eu gostaria de saber essas coisas.
A divulgação das audiências ela está sendo realmente muito baixa até considerando que a gente está na maior cidade do país e tem 200 pessoas assistindo isso aqui, então realmente não está chegando para todo mundo.
 Então essa é a minha participação obrigado.";['Zeladoria Urbana e melhorias de bairro']
5;6;Audiência Geral;"Oi boa tarde então pessoal, me chamo Victor, sou do Instituto Pólis da morada da Floresta, integrante também da campanha São Paulo Composta Cultiva, e como diversos integrantes já reforçaram alguns pontos, eu queria destacar a importância de revisar alguns pontos especialmente da Meta 67 e da 59, a gente também parabeniza por alguns avanços de consideração de iniciativas, pela qualidade das metas, pelo recebimento e pelas considerações e incorporação no plano de metas,mas que a gente entende que ainda é necessário algumas melhorias para tornar esse plano um pouco mais ousado e ainda assim exequível perto do que já foi realizado no período entre 2008/2019. Anos que foram inaugurados quatro pátios de compostagem e agora está sendo proporcionalmente 3 para um aumento de 600 feiras. A gente entende que administram importância principalmente o avanço o experimento da coleta separada de resíduos orgânicos domésticos, porque a gente tem uma renovação de concessão daqui quatro anos que potencialmente vai definir é o futuro dos resíduos domésticos, por mais 20 anos. Então a gente necessita deste estudo o experimento e teste já nesse período, para conseguir elaborar uma concepção adequada para os próximos 20 anos, que torna em São Paulo referência na gestão dos resíduos orgânicos na economia circular dos alimentos.
Tanto em um período muito importante de combate à fome são iniciativas que é extremamente importante para promoção da Agricultura Urbana e periurbana de base agroecológica, nesse sentido algumas iniciativas também que entram no campo principalmente da produção agrícola, a gente tem a proposta que é importante alterar a iniciativa “B” da meta 59 e qualificar ela de verdade e introduzir uma meta numérica de 200 Produtores Rurais, na iniciativa “D” colocar a meta de qualificar 100  beneficiários do programa POT Hortas e Viveiros da comunidade, no caso inserir uma meta numérica para facilitar esse controle, melhorar a transparência no processo e principalmente incluir a iniciativa meta 59 da implantação de uma casa de agricultura ecológica na Zona Norte do Município de São Paulo, visto que a gente teve um projeto super bem sucedido que foi o Ligue os Pontos, e hoje em dia a gente tem uma plataforma Sampa Mais Rural e em alguns cadastros de agricultores do Município de São Paulo, mas principalmente a zona norte do Município de São Paulo,  ainda é muito desassistidos os agricultores,  pela ausência de uma Casa de Agricultura Ecológica.
É isso pessoal, obrigado pelo espaço de fala, e a gente gostaria de saber também como serão consideradas todas as sugestões de propostas, incluídas no portal de participe mais. Obrigado.";['Zeladoria Urbana e melhorias de bairro', 'Desenvolvimento Econômico e Trabalho']
6;7;Audiência Geral;"Boa tarde a todos obrigado por esse espaço de fala, meu nome é Débora, eu sou gerente de núcleo de Convivência de idosos pela política pública da assistência social na cidade de São Paulo, queria trazer algumas contribuições, algumas reflexões aqui para o grupo.
 A primeira é que o ano de metas do Plano é de 2021/2024, curiosamente 2025 São Paulo será a sexta maior cidade do mundo a ter pessoas idosas, e tem apenas especificamente uma meta para a população idosa, essa é uma questão muito preocupante que eu trago aqui para o grupo. É lamentável também considerando, que eu acho que a população idosa, ela precisa e merece ter uma maior visibilidade uma maior prioridade nessa gestão.
Uma questão que eu achei super importante que eu fiz algumas anotações é com relação a todas essas metas estarem vinculadas ao que foi deliberado nas conferências, tanto municipais, quanto aos espaços de controle, eu acho que isso bastante importante necessário. Identifiquei que não vi, não percebi, algumas coisas que eu acho que foram muito importantes, que a gente discutiu na última conferência da pessoa idosa, assim como da Conferência da Assistência Social também.
Queria ressaltar, discutir com os colegas que também trouxeram a questão da divulgação desse encontro, estou sentindo muita falta de presença e participação dos fóruns, trabalhadores que atuam na política da assistência social, tanto direta quanto a indireta, do quanto que ele é importante esse momento esse espaço para gente discutir uma melhoria da nossa cidade.
Uma outra questão, é que esse documento ele precisa ser revisto. Fiquei muito preocupada com o uso de algumas terminologias que inclusive não corresponde com a tipificação uma legislação que a gente já tem desde 2012,  fiquei sem entender sem compreender, além do que vocês foram mencionados no documento especificamente com relação ao NCI, que teria o número de 104 NCI  na cidade de São Paulo, eu atuo a 9 anos no território, desde quando foi implantado a tipificação na cidade de São Paulo, do que eu conheço nunca tivemos 104 NCI,  tivemos 96 dentre os quais infelizmente, nos dois últimos anos tivemos o fechamento aí de 8 serviços. Então hoje a gente tem 88 serviços de NCI, dentre quais nem todos são do período integral o que também mostra uma grande fragilidade desse serviço e do quanto que ele é importante uma vez que são serviço de convivência e fortalecimento de vínculos. Gostaria de ressaltar também que precisa ser revisto, precisa ser melhorado.
Obrigada pela fala. Queria muito que esse documento fosse reelaborado quando fosse para os territórios de discussões. Além do que descrever quais são os territórios que serão os serviços implantados.";['Assistência Social']
7;8;Audiência Geral;"Oi, boa tarde. Eu comungo de uma grande parte das opiniões que falaram sobre o tão acanhado que é esse plano de metas, que ele não dá conta de uma série de questões. E mais ainda no ponto de vista do atendimento do debate, que vai ser feito com os territórios. Aqui se coloca que vai se construir tantos equipamentos durante os quatro anos da gestão do prefeito Bruno Covas. Como isso vai se dar num território? Se são dez equipamentos, não são 32 subprefeituras? Como é que vai ser feito então, sorteio? Vai ter quem levar mais votos? De que forma que isso vai ser atendido. Porque não se coloca onde está a necessidade desses equipamentos. Coloca-se equipamento, mas de uma forma muito solta, você não identifique onde é.
E aqui uma opinião sobre algumas das metas, são tantas as metas que é difícil a gente opinar. Mas por exemplo, na questão de meta já número 1, Transferência de Renda, de onde nós partimos?  Qual é o dado que a gente tem, para dizer que um milhão e meio é o suficiente e meio uma pandemia e meio extrema pobreza, que atingiu o Brasil e São Paulo especificamente.
Trinta UBSs, qual o território dessas trinta UBSs, essa é a meta 3. A meta 7, 6 CAPS é insuficiente, é um número muito insuficiente, em uma realidade onde vivenciamos de pandemia onde têm aumentado muito o número de pessoas em situação de depressão. Então considero que esses 6 CAPS são insuficientes. Outra meta, 40 equipes de saúde da família, quer dizer que hoje nós temos uma cobertura de 70% do território. Para cobrir todo o território na área da saúde com o pessoal da família, a gente precisaria, não de 40, mas mais de 400 equipes de saúde da família, para alcançar assim, 100% do território da cidade.
50 mil vagas em creches é a meta 9, são diretas ou indiretas?  Porque esses serviços indiretos a gente viu que nesse último período muitas creches foram fechadas. Então é diferente de uma creche direta, onde você não pode fechá-la, então as vezes está trocando 6 por meia dúzia.
A urbanização aqui 27.000 uma quantidade muito pouca, 220 mil Regularização fundiária, meta de número 12, no último plano de metas eram 323 mil, caiu bastante.
Em relação à população idosa tem que rever a questão do direito do Idoso ao passe, não está aqui na política de idoso, devia ter isso aqui, garantir o retorno do passe do Idoso. Obrigado.";['Habitação', 'Assistência Social', 'Saúde', 'Transportes e Mobilidade', 'Educação']
8;9;Audiência Geral;"Olá, boa tarde a todos, agradeço aqui também a oportunidade dessa fala, sou Suyane, atuo no Núcleo de Convivência de idosos.
Primeiramente gostaria de reforçar a fala dos colegas, sobre a importância da representatividade, tanto na população e no conselho das políticas públicas, fóruns coletivos e trabalhadores que executam um trabalho das políticas públicas nessa elaboração do plano de meta, bem como também considerar a fala de um colega, que disse que poderia ter acontecido audiências nos distritos, para levantar as demandas e apontar as necessidades da população. Principalmente na população que está em vulnerabilidade, considera então a fragilidade de baixa comunicação para ampliar a participação desse encontro.
 Há fragilidade do documento que precisa também apontar as especificidades dos serviços dos territórios e da população. E falando nas metas, então gostaria muito que tivesse algo para tentar garantir o que já temos, o serviço que executa as políticas públicas na cidade de São Paulo.
Alguns colegas falaram aí dos fechamentos, diante disso gostaria de pontuar mais uma vez, então a criação de metas específicas para a população idosa visto que só temos a meta 15, diante do crescente número de pessoas idosas na cidade de São Paulo. E por ser uma pessoa que está no NCI, Núcleo de Convivência de idosos, que é da política pública de Assistência Social, coloco aqui então esse intuito de fortalecer os SUAS, que é o Sistema Único de Assistência Social e também da Política Nacional de Assistência Social na cidade de São Paulo. Considerar então ampliar e cofinanciar os CRAS e CREAS, bem como quadro de Recursos Humanos adequado que atende então esse número populacional, as demandas indicadoras de vulnerabilidade.
É essas são as minhas considerações.  Muito Obrigada e boa audiência para todos.";['Assistência Social']
9;10;Audiência Geral;"Maravilha, boa tarde a todos. Primeiramente agradecer a todos os técnicos, por organizar essa audiência pública, fazer online é sempre bastante complexo, acho que agradecer também toda a equipe do programa de metas.
Eu sou André Biazotti, eu faço parte do Movimento Urbano de Agroecologia e queria muito falar sobre a meta de 59. A meta que fala sobre a implantação de hortas urbanas.  Acho que primeiramente entender que a gente está num contexto de pandemia de crise econômica e do retorno brutal da fome. Então para gente   foi bastante positivo ter uma meta voltada a implantação de hortas urbanas na cidade de São Paulo. Agora 400 hortas urbanas é o número que me preocupa porque me faz pensar, eu queria entender um pouco melhor qual estrutura que a prefeitura está imaginando para dar apoio para a criação de 400 hortas. Que tipo de hortas urbanas que a gente está falando. Um pezinho de manjericão numa escola não é uma horta urbana. Do que a gente está falando, de abastecimento, de combate à fome?  A gente quando fala em implantação de horta, a gente tem que pensar em hortas com capacidade de abastecimento, principalmente em periferias em áreas onde o alimento não chega. Então falar em 400 hortas de forma genérica, me parece que qualquer pezinho de manjericão numa praça vai ser considerado horta, isso me preocupa muito. A gente precisa qualificar essas hortas. 
Atualmente no município temos cerca de 600 agricultores, e boa parte desses agricultores não são atendidos pelo sistema de assistência técnica da Prefeitura, a gente precisa de mais agrônomos, uma melhor estrutura para as casas de agricultura ecológica, como o Vitor falou, que seja, instalar uma casa de agricultura ecológica na Zona Norte. Na zona norte os agricultores são totalmente desassistidos e sofrendo diversas iniciativas de expulsão de suas terras, tanto a terra indígena do Jaraguá quando os agricultores do Jardim Damasceno e do Acampamento Irmã Alberta. São agricultores que precisam de apoio do poder público e não tem sido apoiado. A gente tem o programa de o projeto Ligue os Pontos, que atendia 160 agricultores, mas esse programa ele vai acabar e a prefeitura volta ter quatro técnicos para atender todos, os mais de 500 agricultores da zona sul, e sem nenhum outro técnico para atender o restante da cidade. Então é muito importante qualificar melhor todos os dados que estão nessa meta 59, colocar números de quantos que pretendem ser atendidos. Como já foi falado anteriormente, garantir uma articulação com o plano de agroecologia e desenvolvimento Rural, não basta lançar o plano, tem que executar o plano da forma como ele está previsto. É isso, muito obrigado e boa tarde a todos";['Desenvolvimento Econômico e Trabalho']
